ABAISSABLE	Que l’on peut abaisser.
ABANDONNER	Laisser.
ABASOURDIR	Assourdir, étourdir par un grand bruit.
ABATTEMENT	Action d'abattre.
ABBASSIDES	Dynastie de califes sunnites arabes qui gouvernèrent le monde musulman de 750 à 1258.
ABDICATION	Renoncement à ses valeurs, à sa personnalité, à son amour-propre.
ABDOMINAUX	Ensemble de muscles situés au niveau de l’abdomen, dans le ventre.
ABERRATION	Anomalie d’une fonction.
ABIDJANAIS	Habitant d’.
ABJURATION	Action d’.
ABOMINABLE	Qui est dégoûtant.
ABONDEMENT	Aide financière de l’entreprise au plan épargne entreprise (PEE) complétant les versements volontaires des salariés.
ABONNEMENT	Contrat de fourniture, convention ou marché de service forfaitaire qui se fait d’avance pour une période donnée, par lequel on paie à un prix déterminé ce qui se paie d’ordinaire successivement et par portion avec un échéancier de facturation convenu à la signature.
ABORNEMENT	Action d’aborner.
ABOUTEMENT	Mise en relation de deux lignes sans interrompre la connexion.
ABRICOTIER	Relatif à l’abricot.
ABRICOTINE	Eau-de-vie à base d’abricot.
ABROGATION	Action d’abroger.
ABROGEABLE	Qui peut être abrogé.
ABRUZZAISE	Habitante ou originaire de la région italienne des Abruzzes.
ABSCISSION	Processus de décollement amenant la chute des feuilles ou des fruits.
ABSOLUMENT	En maître.
ABSOLUTION	Action d’absoudre.
ABSORBABLE	Qui peut être absorbé.
ABSORBANCE	Grandeur logarithmique exprimant la quantité de lumière absorbée par un échantillon lorsqu’un rayonnement le traverse, généralement mesurée en spectrophotométrie pour déterminer une concentration.
ABSORPTION	Action d’absorber.
ABSTENTION	Résultat de cette action.
ABSTERGENT	Produit qui a un effet abstergent.
ABSTINENCE	Action de s’abstenir.
ABSTINENTE	Femme qui ne boit pas d’alcool.
ABSTRACTIF	Qui sert à exprimer des idées abstraites.
ABYSSINIEN	Habitant ou originaire d’Abyssinie, ancien nom de l’Éthiopie.
ACAGNARDER	Paresser.
ACALORIQUE	N’apportant aucune calorie.
ACANTHAIRE	Protozoaire actinopode de haute mer, dont le squelette présente des spicules disposés en rayons.
ACCAPAREUR	Personne qui accapare.
ACCEPTABLE	Qui peut, qui doit être accepté.
ACCEPTANTE	Celle qui accepte.
ACCEPTEUSE	Celle qui accepte.
ACCESSIBLE	Où l’on peut accéder.
ACCESSOIRE	Ajouté mais , , .
ACCIDENTEL	Qui arrive par accident.
ACCIDENTER	Briser la continuité.
ACCLIMATER	S'habituer à un autre climat.
ACCOLEMENT	Action d’accoler.
ACCOMBANTE	Féminin d’accombant.
ACCOMBANTS	Pluriel d’accombant.
ACCOMMODAT	Ensemble non héréditaire de caractères (morphologiques, physiologiques) qu’un organisme acquiert par accommodation au milieu ambiant.
ACCOMMODER	Apprêter.
ACCORDABLE	Qui peut s’accorder, qu’on peut accorder.
ACCORDERIE	Système d'échanges de services solidaires entre ses membres (« accordeurs »), en général habitants d'un même quartier, et destiné à « lutter contre la précarité et la pauvreté, favoriser la mixité sociale, aider les gens à prendre conscience de leur capacité à faire, et aider au lien social ».
ACCORDEUSE	Celle qui accorde un instrument de musique.
ACCOSTABLE	Qui est facile à accoster.
ACCOTEMENT	Partie du ballast de chaque côté d’une voie ferrée.
ACCOUCHEUR	Celui dont la profession est de faire des accouchements.
ACCOUTUMER	Avoir coutume ; souloir.
ACCOUVEUSE	Femme pratiquant l’accouvage.
ACCRESCENT	Qui continue à croître après la fécondation, en parlant de certains organes floraux, et principalement du calice, lorsqu’au lieu de tomber aussitôt après la floraison, il continue de s’accroître avec le fruit, dont il devient alors partie intégrante (poires, coings, etc.)
ACCROCHAGE	Action d’accrocher.
ACCROCHEUR	Qui retient l’attention.
ACCUEILLIR	Surprendre.
ACCULEMENT	Refus d’avancer d’un cheval en défense, qui déplace son poids vers son arrière-main.
ACCULTURER	Adapter à une nouvelle culture.
ACCUSATEUR	Qui accuse.
ACCUSATION	Action en justice par laquelle on accuse quelqu’un.
ACETABULUM	Synonyme de acétabule.
ACHALANDER	Fournir de chalands, de clients.
ACHROMIQUE	Sans couleur.
ACHRONIQUE	Qui se situe en dehors du temps, en dehors des repères chronologiques admis au printemps.
ACICULAIRE	En aiguilles ou en baguettes.
ACIDIFIANT	Qui acidifie.
ACIDIPHILE	Qui apprécie les sols assez acides.
ACIDOPHILE	Plantes des sols acides.
ACOQUINANT	Qui acoquine.
ACOUSTIQUE	Relatif aux organes de l’ouïe.
ACQUIESCER	Signaler son accord ; répondre que l’on accepte la proposition de l’autre.
ACQUISITIF	Relatif à l’acquisition.
ACROPHOBIE	Peur, phobie de ce qui est élevé, de ce qui est en hauteur.
ACROSTICHE	Qualifie une pièce de vers acrostiche.
ACRYLAMIDE	Amide de formule semi-développée .
ACTINOPODE	Protozoaire émettant de fins pseudopodes rayonnants.
ACTIONNEUR	Partie d'une machine qui, recevant un ordre de la partie commande via un éventuel préactionneur, convertit l’énergie qui lui est fournie en une action mécanique.
ACTIVATEUR	Se dit d'un produit qui augmente l'activité de quelque chose.
ACTIVATION	Action de rendre actif.
ACTIVEMENT	D’une manière active.
ACTIVISMES	Pluriel d’.
ACTUALISER	Mettre à jour.
ACTUALISME	Doctrine qui explique les phénomènes géologiques du passé de la terre par les mêmes causes qui produisent les phénomènes effectifs actuels.
ADAPTATEUR	Qui permet l’adaptation d’une chose à une autre.
ADAPTATION	Intégration d’une organisation.
ADIPOPEXIE	Fixation de graisses dans l’organisme d’un mammifère.
ADJECTIVAL	Relatif à l’adjectif, qui en a le caractère, la fonction.
ADJECTIVER	Qualifier à l'aide d'un adjectif.
ADJONCTION	Action d’adjoindre ; chose adjointe.
ADJURATION	D’une manière générale, il signifie prière instante.
ADMINICULE	Ce qui peut servir à faciliter le bon effet d'un remède.
ADMIRATEUR	Celui qui admire, ou qui a coutume d’admirer.
ADMIRATION	L’objet même qu’on admire.
ADMISSIBLE	Même sens.
ADMITTANCE	Inverse de l’impédance.
ADMONESTER	Faire une remontrance, un blâme, à huis clos à un justiciable, avec défense de récidiver.
ADMONITION	Action d’admonester, avertissement.
ADOLESCENT	Garçon qui a atteint l’adolescence.
ADONIENNES	Fêtes en l’honneur d’Adonis célébrées anciennement en Égypte, en Assyrie, en Judée, en Perse, à Chypre et en Grèce.
ADORATRICE	Celle qui adore une divinité.
ADOSSEMENT	État de ce qui est adossé.
ADOUBEMENT	Cérémonie au cours de laquelle on fait d’un homme un chevalier.
ADRESSABLE	Se dit d’une mémoire qui utilise un système d’adresses uniques pour le stockage d’information.
ADRIATIQUE	Relatif à la mer Adriatique.
