ABAISSER	Se baisser.
ABATTAGE	Vigueur, entrain.
ABATTANT	Lunette de WC.
ABATTEUR	Celui qui abat.
ABATTOIR	Guillotine.
ABATTURE	Action d’abattre les fruits des arbres et particulièrement les glands.
ABBATIAL	Qui a rapport à l’abbaye, à l’abbé ou à l’abbesse.
ABDIQUER	Renoncer à agir, abandonner.
ABEILLER	Relatif aux abeilles.
ABERRANT	Qui diffère de la normale. Quelque chose de bizarre.
ABHORRER	Avoir en horreur.
ABLATION	Action d’amputer un être vivant d’une partie de son corps.
ABLETTES	Pluriel d’ablette.
ABLOCAGE	Action d’abloquer une pièce (la placer sur une machine-outil pour l’usiner) ; résultat de cette action.
ABLOQUER	Placer (une pièce) sur une machine-outil pour l’usiner.
ABLUTION	Action de laver.
ABOITEAU	Digue entre deux claies à huitres.
ABOLITIF	Qui a le pouvoir d’abolir.
ABOMASUM	Quatrième poche de l'estomac des ruminants.
ABOMINER	Avoir en horreur, détester, haïr.
ABONDANT	Commune française, située dans le département d’Eure-et-Loir.
ABORDAGE	Fait d’atteindre la côte, le rivage.
ABORDEUR	Qui aborde.
ABOUCHER	Entrer en communication avec quelqu’un.
ABOUTAGE	Assemblage de plusieurs pièces, le plus souvent de bois, mises bout à bout avec un ou des éléments de liaison.
ABOYEUSE	Chienne qui aboie à la vue du sanglier, sans en approcher.
ABRASION	Usure, détérioration ou perte de matière résultant d’un frottement répété.
ABREUVER	Être saturé de quelque chose.
ABRICOTS	Commune d’Haïti dans le département de Grand’Anse.
ABRIVADO	Lâcher de taureaux dans les rues d’une ville.
ABRIVENT	Abri de fortune lors d’un bivouac.
ABROUTIR	Brouter les pousses tendres d’arbres.
ABSCISSE	Position du point qui correspond à cette distance.
ABSENTER	S’éloigner de quelque lieu où l’on est habituellement, où la profession, les fonctions qu’on exerce veulent que l’on demeure, etc.
ABSINTHE	Amertume.
ABSORBER	Pomper un fluide.
ABSOUDRE	Pardonner, excuser.
ABSTENIR	Empêcher, dissuader.
ABSTRACT	Analyse succincte d’un ouvrage.
ABSTRAIT	Nominalisation de l’adjectif.
ABUSEUSE	Celle qui abuse.
ABUTILON	Genre botanique originaire des régions tropicales humides qui regroupe environ 150 espèces de plantes annuelles ou vivaces, sempervirentes.
ABYSSINE	Abyssinienne, habitante de l’Abyssinie.
