ABASOURDI	Extrêmement surpris
ABDUCTEUR	produit l’abduction
ABERRANCE	Caractéristique de ce qui s’écarte d’un type
ABONDANCE	Grande quantité
ABREUVAGE	l’on abreuve les animaux
ABREUVOIR	les chevaux et les bestiaux peuvent boire
ABROGATIF	abroge, qui annule
ABSORBEUR	a la capacité d’absorber
ABSTINENT	ne boit pas d’alcool
ABSTRAIRE	Séparer abusivement un élément du tout dont il
ACARICIDE	élimine les acariens
ACCABLANT	accable ou qui peut accabler
ACCAPARER	S’emparer de quelqu’un ou de quelque chose pour
ACCEPTANT	accepte, donne son consentement à une convention
ACCESSION	ajouter ou de s’ajouter à
ACCOINTER	Fréquenter une femme
ACCORDANT	s’accorde bien
ACCUSABLE	peut être accusé
ACESCENCE	État de ce qui est acescent
ACHETABLE	peut être acheté
ACROSPORT	Activité gymnique artistique, mélangeant danse, gymnastique au sol
ACTIVISME	Activité élevée, voire frénétique
ACTUARIEL	a un rapport avec les actuaires et leur
ACTUATION	actuer : passage de la puissance à l’acte
ACYCLIQUE	n’a pas de cycle
ADAPTABLE	peut être adapté
ADDICTION	Dépendance à une substance ou activité
ADJOINDRE	Être adjoint
ADMIRABLE	mérite ou qui attire l’admiration
ADMIRATIF	exprime l’admiration
ADNOMINAL	est lié au nom, qui fonctionne comme un
ADRESSANT	Adressé, pour une lettre
AFFAISSER	S’écrouler, s’abattre
AFFAITAGE	Éducation d'un oiseau de proie
AFFICHAGE	afficher ou résultat de cette action
AFFINERIE	l’on affine
AFFLEURER	Être à la surface
AFFLICTIF	afflige, qui frappe directement quelqu’un
AFFLOUAGE	afflouer, de remettre un vaisseau à flot
AFFLUENCE	affluer, au propre et au figuré
AGACEMENT	agacer, sentiment ; impression qu’on y éprouve
AGGRAVANT	rend plus grave
AGILEMENT	D’une manière agile
AGITATION	État de ce qui est agité
AGNATIQUE	appartient aux agnats
AGONISANT	est à l’agonie
AGRAFEUSE	Ouvrière qui agrafe
AGRESSION	celui qui agresse
AGUICHANT	aime à aguicher
AIGREMENT	D’une manière aigre ; avec aigreur
AIGUILLER	Étui à aiguilles
AIGUISAGE	aiguiser ; résultat de cette action
ALGINIQUE	Tiré de l'algine
ALGOLOGIE	Étude de la douleur
ALIOTIQUE	a le caractère de l’alios, qui a un
ALITEMENT	Séjour au lit
ALLODYNIE	Phénomène par lequel un stimulus non douloureux est
ALLOPHONE	parle une langue étrangère
ALLOUABLE	peut être alloué, attribué
ALLUMETTE	Pâtisserie composée de pâte feuilletée glacée au sucre
ALTRUISTE	manifeste de l’altruisme
ALUMINURE	recouvrir certaines pièces ou objets d’un mince pellicule
AMBITIEUX	a de l’ambition
AMBULANCE	Véhicule spécialement adapté au transport sanitaire terrestre
AMENDABLE	peut être amendé
AMONCELER	S’entasser ; s’accumuler
AMPHIPODE	Crustacé de petite taille
AMPLECTIF	Désigne un organe végétal qui en enveloppe complètement
AMPLEMENT	D’une manière ample
AMPLITUDE	Étendue considérable
ANCESTRAL	Très ancien
ANDOUILLE	Pavé de deuxième choix
ANDROGYNE	Être fabuleux femelle et mâle
ANGLOMANE	est atteint d’anglomanie
ANHYDRIDE	Composé chimique qui a perdu une ou plusieurs
ANHYDRITE	Espèce minérale composée de sulfate de calcium (CaSO4),
ANNULABLE	peut être annulé
ANNULAIRE	Espèce de chenille
ANTIACIDE	s’oppose à l’acidité
ANTIBRUIT	assourdit, qui atténue le bruit
ANTICERNE	masque ou corrige les cernes des yeux
ANTICOPIE	interdit ou empêche la copie
ANTICRISE	lutte contre la crise
ANTIGIVRE	contre le givre
ANTIRADAR	brouille les radars
ANTIREJET	Destiné à lutter contre le rejet d’une greffe
ANTIRIDES	Destiné à lutter contre les rides
ANTITABAC	lutte contre le tabagisme
ANTIVIRUS	lutte contre les virus
ANTONYMIE	Caractère des mots qui sont de sens contraire
APHRODITE	Déesse de la beauté et de l’amour
APITOYANT	fait pitié
APOSTOLAT	Ministère d’apôtre ; sa durée
APPARENCE	Désir de briller
APPENDANT	est suspendu à
APPENDICE	Élément en saillie de la structure principale d’un
APPLICAGE	appliquer quelque chose pour l’ornement ou la solidité
APPRENANT	permet d’apprendre
APPRENDRE	Éduquer par la menace
AQUARELLE	Œuvre peinte avec cette technique
AQUATINTE	Épreuve imprimée à l’aide d’une planche gravée par
AQUATIQUE	se trouve dans l’eau
ARABISANT	donne un caractère arabe
ARCHIFAUX	Extrêmement faux
ARCHONTAT	Dignité de l’archonte
ARDEMMENT	D'une lumière vive
ARGENTAGE	argenter, application d’une couche d’argent
ARGENTEUR	a ou qui procure beaucoup d'argent
ARGENTURE	argenter un métal
ARGOTISTE	Spécialiste de l’étude de l'argot
ARMISTICE	Arrêt des hostilités convenu par les combattants
ARMURERIE	Métier ou art de l’armurier
ARNAQUEUR	arnaque, qui a l’habitude d’arnaquer
ARRACHAGE	arracher une plante
ARRACHEUR	Délinquant qui arrache le collier de sa victime
ARROSABLE	peut être arrosé
ARROSEUSE	Véhicule destiné à l’arrosage
ARSENICAL	est de la nature de l’arsenic ou qui
ARTICULAT	Pièce dans laquelle on articule, on énonce par
ASCENDEUR	Poignée d’ascension
